Order_id,Order_date,Customer Name,Address,Restaurant ID,Food_Item,QTY,Delivery_Time_Min,Order_Amt,Pay_Mode,Rtng,Deliry_Status,code,col 1
ORD0001,01-07-2023,Ganesh Kadam,"Kolkata, West Bengal",R018,PIZZA,3,71 min,1427.64,Card,3,Pending,7094,
ORD0002,12-10-2024,Anjali Rao  ,"Jaipur, Rajasthan",R016,biryani,5,64 min,1673.45,UPI,3,Cancelled,5468,
ORD0003,15-10-2024,Vijay Naik,"Kolkata, West Bengal",R030,Fried Rice,35,81 min,540.33,UPI,1,Delivered,1491,
ORD0004,15-06-2024,Pooja Desai,"Patna, Bihar",R004,burger,2,37 min,517.28,UPI,4,delivered,6464,
ORD0005,13-02-2025,Sanjay Gupta  ,"Surat, Gujarat",R025,Spring Rolls,2,50 min,321.06,Cash,4,delivered,5827,
ORD0006,13-09-2023,Rohit Verma,"Surat, Gujarat",R024,Piza,25,74 min,796.29,Card,4,Delivered,4736,
ORD0007,26-09-2023,Ganesh Kadam  ,"Lucknow, Uttar Pradesh",R017,PASTA,3,85 min,795.54,UPI,3,delivered,2948,
ORD0008,26-06-2024,Pooja Desai  ,"Bhopal, Madhya Pradesh",R025,biryani,6,42 min,1316.22,Cash,3,delivered,5129,D
ORD0009,01-05-2023,Manoj Kumar  ,"Hyderabad, Telangana",R017,Burger,5,35 min,857.75,UPI,5,Cancelled,9113,
ORD0010,01-22-2025, Divya Mishra ,"Patna, Bihar",R019,Dosa,4,68 min,496.2,Card,4,Cancelled,9203,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ORD0011,11-11-2023, Vikas Mehta ,"Bhopal, Madhya Pradesh",R028,Spring Rolls,2,47 min,252.38,Cash,2,Cancelled,1104,
ORD0012,20-02-2024,Deepa Iyer  ,"Bangalore, Karnataka",R019,biryani,60,44 min,525.44,Card,1,cancel,3701,
ORD0013,10-10-2024,Lalit Yadav,"Ahmedabad, Gujarat",R021,Chole Bhature,5,79 min,574.15,UPI,2,Cancelled,3767,
ORD0014,09-01-2024,  Arjun Menon,"Pune, Maharashtra",R021,Pasta,3,77 min,648.42,Card,3,cancel,1217,
ORD0015,04-27-2023,Amit Joshi,"Indore, Madhya Pradesh",R027,Idli,3,57 min,335.49,UPI,3,cancel,8217,
